High Income countries including HIC in Asia,Country Label,Country Name,"Gender (female 1, Male 0)","Fruits, grams per day","Non-starchy vegetables, grams per day","Beans and legumes, grams per day","Nuts and seeds, grams per day","Unprocessed red meats, grams per day","Sugar-sweetened beverages, grams per day","Fruit juices, grams per day","Total protein, grams per day","Calcium, milligrams (mg) per day","Potassium, milligrams (mg) per day","Total milk, grams per day","Cause of death, Stroke, per 100k","Cause of death, Diabetes, per 100k","Cause of death, Cancer, per 100k"
HIC,AUS,Australia,1,156.93558,140.87564,25.394457,3.4587562,59.977264,113.08083,44.382534,88.362076,774.39563,2761.6936,141.4053,99.08980825,38.92229661,231.4570259
HIC,AUS,Australia,0,139.05083,131.08856,28.984497,4.0372586,97.200378,159.60054,39.966999,95.085266,788.95068,2794.6577,156.34441,74.24931796,41.28216489,306.2768703
HIC,AUT,Austria,1,135.74251,124.82738,8.6576595,3.6854455,94.041382,94.232254,54.662483,67.276268,761.10437,2973.7349,101.09904,156.0734155,48.99565223,295.3756573
HIC,AUT,Austria,0,112.52457,109.61582,9.1030989,4.2216549,117.13522,125.10043,49.08712,72.300339,710.97168,2999.2932,99.398003,97.90480565,36.10563245,351.5719924
HIC,BEL,Belgium,1,133.71361,139.57938,4.1109142,3.3174531,71.919029,157.39064,55.795696,93.424423,829.38818,4503.3428,86.222519,150.5538975,54.18887139,308.4196382
HIC,BEL,Belgium,0,112.65421,124.32944,4.4242029,3.9491925,77.513466,202.21303,49.940624,97.037079,725.79486,4432.8247,83.011314,102.759242,35.88012708,438.874893
Asia,BRN,Brunei Darussalam,1,93.255791,162.02965,7.9055419,4.2786779,17.416063,184.18207,6.5921154,73.15107,490.51385,1908.8055,26.36484,120.1687452,61.8143391,66.34622216
Asia,BRN,Brunei Darussalam,0,81.516647,155.00371,7.2445016,4.2414904,17.538639,218.08769,6.240077,73.263397,451.89902,1864.545,25.672522,113.6835738,53.2538607,67.34412945
HIC,CAN,Canada,1,153.15549,165.58287,9.0262394,5.9419432,49.979919,124.32528,104.47198,68.692108,901.23657,3167.7688,166.7795,86.35602805,49.54854092,252.9996763
HIC,CAN,Canada,0,128.9592,145.87479,9.5033998,6.8948326,61.286419,162.68036,93.726578,73.98101,821.00854,3198.7422,161.26653,62.73937182,50.53897904,310.874087
